phase,job_id,config,epochs,task,seed,hardware,runtime_min,final_reward,planning_reward,method,checkpoint
phase4,4012433_6,fullflow,10000,cheetah-run,42,H100,78,0.16,0.22,from_scratch,none
phase4,4012433_7,fullflow,10000,cheetah-run,123,H100,78,1.40,1.35,from_scratch,none
phase4,4012433_8,fullflow,10000,cheetah-run,456,H100,79,0.20,0.22,from_scratch,none
phase5,4012434_0,high_precision_wm,15000,walker-stand,42,H100,179,142.26,128.08,from_scratch,none
phase5,4012434_1,high_precision_wm,15000,walker-stand,123,H100,179,117.88,141.79,from_scratch,none
phase5,4012434_2,high_precision_wm,15000,walker-stand,456,H100,176,156.10,112.70,from_scratch,none
phase5,4012434_3,high_precision_policy,15000,walker-stand,42,H100,127,142.25,128.08,from_scratch,none
phase5,4012434_4,high_precision_policy,15000,walker-stand,123,H100,126,156.06,99.91,from_scratch,none
phase5,4012434_5,high_precision_policy,15000,walker-stand,456,H100,127,146.24,146.33,from_scratch,none
phase5,4012434_6,euler_fast,15000,walker-stand,42,H100,79,142.26,128.08,from_scratch,none
phase5,4012434_7,euler_fast,15000,walker-stand,123,H100,80,156.07,99.90,from_scratch,none
phase5,4012434_8,euler_fast,15000,walker-stand,456,H100,79,156.10,112.70,from_scratch,none
phase5,4012434_9,high_precision_wm,15000,cheetah-run,42,H100,175,0.27,0.28,from_scratch,none
phase5,4012434_10,high_precision_wm,15000,cheetah-run,123,H100,174,0.19,0.18,from_scratch,none
phase5,4012434_11,high_precision_wm,15000,cheetah-run,456,H100,175,0.24,0.24,from_scratch,none
phase5,4012434_12,high_precision_policy,15000,cheetah-run,42,H100,127,0.21,0.21,from_scratch,none
phase5,4012434_13,high_precision_policy,15000,cheetah-run,123,H100,126,0.19,0.18,from_scratch,none
phase5,4012434_14,high_precision_policy,15000,cheetah-run,456,H100,137,0.16,0.22,from_scratch,none
phase5,4012434_15,euler_fast,15000,cheetah-run,42,H100,80,0.21,0.21,from_scratch,none
phase5,4012434_16,euler_fast,15000,cheetah-run,123,H100,79,4.08,4.00,from_scratch,none
phase5,4012434_17,euler_fast,15000,cheetah-run,456,H100,79,0.16,0.22,from_scratch,none
phase6,4012533_0,baseline,15000,reacher-easy,42,H100,49,54.00,0.60,from_scratch,none
phase6,4012533_1,baseline,15000,reacher-easy,123,H100,51,153.40,121.20,from_scratch,none
phase6,4012533_2,baseline,15000,reacher-easy,456,H100,50,3.30,92.10,from_scratch,none
phase6,4012533_3,baseline,15000,walker-stand,42,H100,49,139.98,137.81,from_scratch,none
phase6,4012533_4,baseline,15000,walker-stand,123,H100,50,156.05,99.90,from_scratch,none
phase6,4012533_5,baseline,15000,walker-stand,456,H100,50,151.09,143.17,from_scratch,none
phase6,4012533_6,baseline,15000,cheetah-run,42,H100,48,0.19,0.14,from_scratch,none
phase6,4012533_7,baseline,15000,cheetah-run,123,H100,48,0.14,0.14,from_scratch,none
phase6,4012533_8,baseline,15000,cheetah-run,456,H100,48,0.24,0.25,from_scratch,none
phase6,4012534_0,fullflow,15000,reacher-easy,42,H100,202,53.80,0.60,from_scratch,none
phase6,4012534_1,fullflow,15000,reacher-easy,123,H100,189,147.20,117.40,from_scratch,none
phase6,4012534_2,fullflow,15000,reacher-easy,456,H100,189,33.20,46.90,from_scratch,none
phase6,4012534_3,fullflow,15000,walker-stand,42,H100,188,142.36,128.08,from_scratch,none
phase6,4012534_4,fullflow,15000,walker-stand,123,H100,185,153.06,151.15,from_scratch,none
phase6,4012534_5,fullflow,15000,walker-stand,456,H100,190,156.10,112.70,from_scratch,none
phase6,4012534_6,fullflow,15000,cheetah-run,42,H100,185,0.21,0.20,from_scratch,none
phase6,4012534_7,fullflow,15000,cheetah-run,123,H100,184,0.05,0.05,from_scratch,none
phase6,4012534_8,fullflow,15000,cheetah-run,456,H100,187,0.66,0.66,from_scratch,none
phase6,4012535_0,baseline,50000,reacher-easy,42,H100,156,130.20,167.60,from_scratch,none
phase6,4012535_1,baseline,50000,reacher-easy,123,H100,152,1.00,0.50,from_scratch,none
phase6,4012535_2,baseline,50000,reacher-easy,456,H100,154,188.60,63.40,from_scratch,none
phase6,4012535_3,baseline,50000,walker-stand,42,H100,158,93.63,60.92,from_scratch,none
phase6,4012535_4,baseline,50000,walker-stand,123,H100,157,136.76,142.45,from_scratch,none
phase6,4012535_5,baseline,50000,walker-stand,456,H100,157,147.34,149.48,from_scratch,none
phase6,4012535_6,baseline,50000,cheetah-run,42,H100,154,44.35,40.38,from_scratch,none
phase6,4012535_7,baseline,50000,cheetah-run,123,H100,153,0.64,0.65,from_scratch,none
phase6,4012535_8,baseline,50000,cheetah-run,456,H100,155,0.61,0.62,from_scratch,none
phase6,4012537_0,baseline,100000,reacher-easy,42,H200,311,438.50,229.80,from_scratch,none
phase6,4012537_1,baseline,100000,reacher-easy,123,H200,306,81.60,2.20,from_scratch,none
phase6,4012537_2,baseline,100000,reacher-easy,456,H200,313,113.10,83.00,from_scratch,none
phase6,4012537_3,baseline,100000,walker-stand,42,H200,314,213.53,254.40,from_scratch,none
phase6,4012537_4,baseline,100000,walker-stand,123,H200,315,159.29,157.37,from_scratch,none
phase6,4012537_5,baseline,100000,walker-stand,456,H200,315,150.36,152.31,from_scratch,none
phase6,4012537_6,baseline,100000,cheetah-run,42,H200,306,0.32,0.37,from_scratch,none
phase6,4012537_7,baseline,100000,cheetah-run,123,H200,304,1.94,1.85,from_scratch,none
phase6,4012537_8,baseline,100000,cheetah-run,456,H200,310,2.50,2.64,from_scratch,none
phase7,4012601_0,baseline,15000,reacher-easy,42,H100,44,54.00,90.70,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_1,baseline,15000,reacher-easy,123,H100,44,1.70,1.20,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_2,baseline,15000,reacher-easy,456,H100,45,1.40,3.40,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_3,baseline,15000,walker-stand,42,H100,46,95.04,87.66,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_4,baseline,15000,walker-stand,123,H100,43,284.19,276.09,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_5,baseline,15000,walker-stand,456,H100,44,149.57,186.57,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_6,baseline,15000,cheetah-run,42,H100,43,19.72,17.63,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_7,baseline,15000,cheetah-run,123,H100,42,14.08,14.81,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_8,baseline,15000,cheetah-run,456,H100,43,56.44,48.46,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_9,flow_std,15000,reacher-easy,42,H100,51,0.60,4.60,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_10,flow_std,15000,reacher-easy,123,H100,51,5.10,36.10,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_11,flow_std,15000,reacher-easy,456,H100,53,0.50,27.20,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_12,flow_std,15000,walker-stand,42,H100,52,34.22,40.51,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_13,flow_std,15000,walker-stand,123,H100,51,113.30,164.76,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_14,flow_std,15000,walker-stand,456,H100,52,119.42,101.26,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_15,flow_std,15000,cheetah-run,42,H100,51,3.18,3.24,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_16,flow_std,15000,cheetah-run,123,H100,51,18.60,13.11,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_17,flow_std,15000,cheetah-run,456,H100,51,0.91,0.92,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_18,flow_high,15000,reacher-easy,42,H100,62,2.70,1.00,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_19,flow_high,15000,reacher-easy,123,H100,63,1.30,100.10,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_20,flow_high,15000,reacher-easy,456,H100,63,0.70,24.30,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_21,flow_high,15000,walker-stand,42,H100,63,37.24,38.40,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_22,flow_high,15000,walker-stand,123,H100,62,94.25,75.68,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_23,flow_high,15000,walker-stand,456,H100,63,135.59,173.93,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_24,flow_high,15000,cheetah-run,42,H100,62,26.82,26.60,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_25,flow_high,15000,cheetah-run,123,H100,63,15.06,20.08,finetune_wm,mt30_48M_4900000.pt
phase7,4012601_26,flow_high,15000,cheetah-run,456,H100,62,24.78,24.73,finetune_wm,mt30_48M_4900000.pt
